stature,weightkg,SizeShirt,SizePants
161,70,S/M,M/L
159,61,XS/S,S/M
164,66,S/M,M/L
157,53,XXS,XXS
165,61,XS/S,S/M
164,73,M/L,L/XL
171,65,XS/S,S/M
167,67,S/M,M/L
156,83,XL/XXL,XXL/XXXL
166,86,XL/XXL,XXL/XXXL
174,105,XL/XXL,XXL/XXXL
168,92,XL/XXL,XXL/XXXL
149,61,XS/S,S/M
159,77,L/XL,XL/XXL
177,77,L/XL,XL/XXL
158,80,L/XL,XL/XXL
181,95,XL/XXL,XXL/XXXL
168,87,XL/XXL,XXL/XXXL
168,73,M/L,L/XL
170,87,XL/XXL,XXL/XXXL
170,82,XL/XXL,XXL/XXXL
167,83,XL/XXL,XXL/XXXL
164,59,XXS/XS,XXS/XS
167,72,M/L,L/XL
170,63,XS/S,S/M
160,62,XS/S,S/M
163,82,XL/XXL,XXL/XXXL
162,62,XS/S,S/M
161,56,XXS/XS,XXS/XS
160,67,S/M,M/L
164,62,XS/S,S/M
169,64,XS/S,S/M
157,62,XS/S,S/M
154,71,M/L,L/XL
163,63,XS/S,S/M
166,82,XL/XXL,XXL/XXXL
158,76,L/XL,XL/XXL
164,69,S/M,M/L
173,91,XL/XXL,XXL/XXXL
167,80,L/XL,XL/XXL
159,68,S/M,M/L
171,76,L/XL,XL/XXL
157,60,XXS/XS,XXS/XS
161,82,XL/XXL,XXL/XXXL
164,84,XL/XXL,XXL/XXXL
169,79,L/XL,XL/XXL
150,57,XXS/XS,XXS/XS
163,56,XXS/XS,XXS/XS
165,72,M/L,L/XL
157,52,XXS,XXS
159,68,S/M,M/L
158,65,XS/S,S/M
165,82,XL/XXL,XXL/XXXL
161,66,S/M,M/L
163,71,M/L,L/XL
172,97,XL/XXL,XXL/XXXL
153,45,XXS,XXS
161,50,XXS/XS,XXS/XS
165,57,XXS/XS,XXS/XS
147,56,XXS/XS,XXS/XS
170,72,M/L,L/XL
169,72,M/L,L/XL
161,56,XXS/XS,XXS/XS
173,82,XL/XXL,XXL/XXXL
169,82,XL/XXL,XXL/XXXL
164,99,XL/XXL,XXL/XXXL
159,98,XL/XXL,XXL/XXXL
161,81,XL/XXL,XXL/XXXL
154,72,M/L,L/XL
163,73,M/L,L/XL
176,69,S/M,M/L
168,76,L/XL,XL/XXL
161,65,XS/S,S/M
156,51,XXS,XXS
159,54,XXS,XXS
163,57,XXS/XS,XXS/XS
153,58,XXS/XS,XXS/XS
164,67,S/M,M/L
164,63,XS/S,S/M
162,62,XS/S,S/M
161,67,S/M,M/L
160,53,XXS,XXS
167,74,M/L,L/XL
164,64,XS/S,S/M
162,67,S/M,M/L
157,62,XS/S,S/M
161,53,XXS/XS,XXS/XS
159,59,XXS/XS,XXS/XS
161,64,XS/S,S/M
159,53,XXS,XXS
159,88,XL/XXL,XXL/XXXL
168,64,XS/S,S/M
150,66,S/M,M/L
159,69,S/M,M/L
160,67,S/M,M/L
162,58,XXS/XS,XXS/XS
152,52,XXS,XXS
156,56,XXS/XS,XXS/XS
173,76,L/XL,XL/XXL
173,87,XL/XXL,XXL/XXXL
172,68,S/M,M/L
166,62,XS/S,S/M
170,56,XS/S,S/M
170,68,S/M,M/L
177,66,M/L,L/XL
162,71,M/L,L/XL
166,78,L/XL,XL/XXL
154,67,S/M,M/L
163,66,S/M,M/L
166,79,L/XL,XL/XXL
156,60,XXS/XS,XXS/XS
166,73,M/L,L/XL
155,71,M/L,L/XL
170,72,M/L,L/XL
154,61,XS/S,S/M
174,81,XL/XXL,XXL/XXXL
162,79,L/XL,XL/XXL
159,60,XXS/XS,XXS/XS
160,58,XXS/XS,XXS/XS
162,60,XXS/XS,XXS/XS
171,83,XL/XXL,XXL/XXXL
170,97,XL/XXL,XXL/XXXL
156,55,XXS,XXS
166,55,XXS/XS,XXS/XS
162,52,XXS/XS,XXS/XS
166,61,XS/S,S/M
169,89,XL/XXL,XXL/XXXL
169,89,XL/XXL,XXL/XXXL
174,70,S/M,M/L
170,73,M/L,L/XL
170,60,XS/S,S/M
156,78,L/XL,XL/XXL
148,44,XXS,XXS
158,47,XXS,XXS
157,64,XS/S,S/M
165,73,M/L,L/XL
168,77,L/XL,XL/XXL
159,62,XS/S,S/M
158,64,XS/S,S/M
168,69,S/M,M/L
170,72,M/L,L/XL
173,69,S/M,M/L
163,62,XS/S,S/M
172,88,XL/XXL,XXL/XXXL
148,71,M/L,L/XL
156,68,S/M,M/L
156,62,XS/S,S/M
161,61,XS/S,S/M
160,55,XXS,XXS
165,112,XL/XXL,XXL/XXXL
165,74,M/L,L/XL
159,70,S/M,M/L
163,58,XXS/XS,XXS/XS
175,87,XL/XXL,XXL/XXXL
158,59,XXS/XS,XXS/XS
154,68,S/M,M/L
157,70,S/M,M/L
173,68,S/M,M/L
157,62,XS/S,S/M
162,61,XS/S,S/M
158,58,XXS/XS,XXS/XS
154,48,XXS,XXS
166,69,S/M,M/L
171,79,L/XL,XL/XXL
151,60,XXS/XS,XXS/XS
157,64,XS/S,S/M
156,71,M/L,L/XL
152,47,XXS,XXS
158,73,M/L,L/XL
161,54,XXS/XS,XXS/XS
161,56,XXS/XS,XXS/XS
154,58,XXS/XS,XXS/XS
176,81,XL/XXL,XXL/XXXL
162,51,XXS/XS,XXS/XS
164,52,XXS/XS,XXS/XS
167,75,M/L,L/XL
174,67,S/M,M/L
165,55,XXS/XS,XXS/XS
161,69,S/M,M/L
167,63,XS/S,S/M
163,64,XS/S,S/M
162,70,S/M,M/L
164,79,L/XL,XL/XXL
159,66,S/M,M/L
173,93,XL/XXL,XXL/XXXL
156,66,S/M,M/L
162,51,XXS/XS,XXS/XS
168,68,S/M,M/L
170,83,XL/XXL,XXL/XXXL
154,65,XS/S,S/M
166,92,XL/XXL,XXL/XXXL
169,66,S/M,M/L
147,46,XXS,XXS
161,62,XS/S,S/M
175,59,S/M,M/L
162,50,XXS/XS,XXS/XS
169,72,M/L,L/XL
154,58,XXS/XS,XXS/XS
175,66,S/M,M/L
173,84,XL/XXL,XXL/XXXL
158,60,XXS/XS,XXS/XS
160,60,XXS/XS,XXS/XS
153,68,S/M,M/L
159,54,XXS,XXS
152,45,XXS,XXS
168,83,XL/XXL,XXL/XXXL
157,64,XS/S,S/M
158,58,XXS/XS,XXS/XS
158,56,XXS/XS,XXS/XS
156,70,S/M,M/L
165,77,L/XL,XL/XXL
146,62,XS/S,S/M
165,99,XL/XXL,XXL/XXXL
159,62,XS/S,S/M
160,71,M/L,L/XL
155,52,XXS,XXS
156,55,XXS,XXS
152,62,XS/S,S/M
161,61,XS/S,S/M
167,52,XXS/XS,XXS/XS
161,74,M/L,L/XL
155,58,XXS/XS,XXS/XS
177,79,L/XL,XL/XXL
163,61,XS/S,S/M
161,71,M/L,L/XL
176,69,S/M,M/L
157,63,XS/S,S/M
161,70,S/M,M/L
168,66,S/M,M/L
161,53,XXS/XS,XXS/XS
157,61,XS/S,S/M
164,75,M/L,L/XL
159,54,XXS,XXS
160,69,S/M,M/L
162,77,L/XL,XL/XXL
167,75,M/L,L/XL
162,70,S/M,M/L
161,50,XXS/XS,XXS/XS
172,71,M/L,L/XL
156,64,XS/S,S/M
177,107,XL/XXL,XXL/XXXL
166,94,XL/XXL,XXL/XXXL
158,76,L/XL,XL/XXL
161,89,XL/XXL,XXL/XXXL
159,77,L/XL,XL/XXL
157,49,XXS,XXS
167,66,S/M,M/L
165,69,S/M,M/L
166,84,XL/XXL,XXL/XXXL
169,64,XS/S,S/M
165,78,L/XL,XL/XXL
170,77,L/XL,XL/XXL
165,73,M/L,L/XL
157,69,S/M,M/L
164,70,S/M,M/L
163,93,XL/XXL,XXL/XXXL
156,85,XL/XXL,XXL/XXXL
151,57,XXS/XS,XXS/XS
174,67,S/M,M/L
171,85,XL/XXL,XXL/XXXL
160,54,XXS,XXS
168,58,XXS/XS,XXS/XS
155,71,M/L,L/XL
154,58,XXS/XS,XXS/XS
171,69,S/M,M/L
164,68,S/M,M/L
152,58,XXS/XS,XXS/XS
159,84,XL/XXL,XXL/XXXL
165,90,XL/XXL,XXL/XXXL
170,104,XL/XXL,XXL/XXXL
168,66,S/M,M/L
163,76,L/XL,XL/XXL
169,71,M/L,L/XL
154,59,XXS/XS,XXS/XS
158,66,S/M,M/L
154,67,S/M,M/L
160,79,L/XL,XL/XXL
150,65,XS/S,S/M
173,75,M/L,L/XL
156,51,XXS,XXS
173,86,XL/XXL,XXL/XXXL
162,73,M/L,L/XL
160,74,M/L,L/XL
174,90,XL/XXL,XXL/XXXL
167,84,XL/XXL,XXL/XXXL
154,63,XS/S,S/M
180,89,XL/XXL,XXL/XXXL
176,97,XL/XXL,XXL/XXXL
160,66,S/M,M/L
156,59,XXS/XS,XXS/XS
159,65,XS/S,S/M
158,78,L/XL,XL/XXL
157,52,XXS,XXS
162,64,XS/S,S/M
163,79,L/XL,XL/XXL
158,74,M/L,L/XL
169,64,XS/S,S/M
165,80,L/XL,XL/XXL
161,71,M/L,L/XL
174,92,XL/XXL,XXL/XXXL
156,66,S/M,M/L
167,67,S/M,M/L
172,57,XS/S,S/M
170,68,S/M,M/L
163,75,M/L,L/XL
158,65,XS/S,S/M
160,69,S/M,M/L
153,47,XXS,XXS
159,55,XXS,XXS
171,76,L/XL,XL/XXL
168,83,XL/XXL,XXL/XXXL
161,71,M/L,L/XL
164,76,L/XL,XL/XXL
161,63,XS/S,S/M
164,61,XS/S,S/M
